complaint,category
Natures farewell kiss for the night!     ,others
Trains between Ajmer(aii) And Allahabad(ald) stations   82356 Suvidha express B3 coach (3AC) There is no water in toilet and not clean at all ,journey
Need first aid. ,others
"Hazrat Nizamuddin, Anand Vihar railway stations become stations   ",others
"RITES order book up by 27.5% in FY 19 at Rs 6,142 crore    ",others
m not getting any information of train no 15028 maurya express . my ticket was from MFP to Ranchi . please provid ,journey
Traveling in reserved coach of Puri Howrah-Dhauli exp. No TTE is seen. A lot of unreserved passengers are traveling ,others
"13011 Malda Town Intercity exp stop every station ,so running late  exp train but fair of not enough to adjust ",journey
"our  train will no longer get delayed! Strict rules to be put in place to adhere to schedule  offering Southern Marvel package, and it really awesome!  \ ",journey
Illegal coal trafficking in passenger train      ,health
llegal coal trafficking      ,others
o avail  services using    ,others
Your  train will no longer get delayed! Strict rules to be put in place to adhere to schedule  will no longer get delayed! Strict rules to be put in place to adhere to schedule  will no longer get delayed! Strict rules to be put in place to adhere to schedule ,journey
bGood to C this kind of setup in our Tpty railway station.. Hope its a beginning step as a part of smart railway st ,others
A 58-year-old widow of a railway employee in Chennai is now running from pillar to post after she found that her husba,journey
Trains between Bhusaval(bsl) And Itarsi(et) stations  ,journey
No doubt. Standard of has been increased and kudos to . He is doing incredible job. ,others
is on. Boarded  today from  . Vlog will be live very soon.  . .  ,journey
Sheer size of  is enough to daunt toughest of reformers It appears that we have now reached a tippi ,digital
Document Verification Process For RRGroup D Begins Today! Check Details Here...    ,others
"Use Check Chart/ Vacancy section to check all type of seat availability from vacant, booked and partially booked berths",journey
Kindly arrange to start Barmer Howrah express instead of Jodhpur Howrah express.,food
IRCTC is introducing a direct train from New Delhi to Leh which will cut short the travel time by half. That is to say tha,journey
A 58-year-old widow of a railway employee in Chennai is now running from pillar to post after she found that her husba,journey
Flashback to the iconic first ever fashion show to be held on a train in India. The  wa ,others
No more inconvenience while booking tickets for your travel. Pay through  e-wallet and  within minutes,journey
allows the user to book tickets to his favorite  destination within minutes and offer the user to pay for,journey
A 58-year-old widow of a railway employee in Chennai is now running from pillar to post after she found that her hu ,journey
Non-Interlocked and Stranded: A look at what goes on behind the scenes when  decide to undertake NI work on,others
Online Registration Window for RRC 1 Lakh Posts Ends Today       Registration Window for RRC 1 Lakh Posts Ends Today      ,others
"Use Check Chart/ Vacancy section to check all type of seat availability from vacant, booked and partially booked be ",journey
"What is , ? Know about Remote Location Waiting List and Pooled Quota Waiting List of  ",others
Unfortunate that such a well known media house doesnt get its facts right! ,others
this metal holder on the upper berth in sleeper class is badly positioned that it hits the passen ,others
Non-Interlocked and Stranded: A look at what goes on behind the scenes when  decide to undertake NI work on,others
"For more stall inquiry, contact us ASAP. Only few stalls left.     ",others
Unfortunate that such a well known media house doesnt get its facts right! ,others
b Unfortunate that such a well known media house doesnt get its facts right! ,others
"(1/2)Hello Sir.  Firstly, kudos on the excellent work with Railways. I was wondering why do we not hav ",others
There are some Sleepers of Tracks Are Found Broken  between Sahganj & Khetas ,others
The unfolding transformation - There are encouraging signs of this behemoth aggressively pursuing a ,others
Trains between Faridabad(fdb) And Agra cantt(agc) stations  ,journey
Fencing all along the railway line shud made mandatory. Coz uncivilized people wont stop throwing stones on runni ,others
Non-Interlocked and Stranded: A look at what goes on behind the scenes when  decide to undertake NI work on,others
Non-Interlocked and Stranded: A look at what goes on behind the scenes when  decide to undertake NI work on,others
bIndian railways dont have enough number of trains for  people of India  to sit in  ,others
How can we make it better?,others
Trains between Amritsar(asr) And Bina(bina) stations  ,journey
Non-Interlocked and Stranded: A look at what goes on behind the scenes when  decide to undertake NI work on,others
The securers of law and order are only breaking it in dehradun shatabdi.We are struck at saharanpur as many,others
"Sir, My PNR No. 8439013639, 11.04.19 BDTS to SVDK was RAC - A2 35, later i wa ",journey
1600 railway stations in India turned into RailWire WiFi zone     via,digital
Non-Interlocked and Stranded: A look at what goes on behind the scenes when  decide to undertake NI work on,others
Please roll the wheels of 13154. Now standing at BWN for 20 minutes. Already delayed by 1.5 hrs.,journey
"For the first , 12,58,371 ballot boxes were moved from the Godrej Manufacturing Company by loadin Why blame MODI ? Either you should have quality or you should have service , you have none , just li ",others
1600 railway stations in India turned into RailWire WiFi zone     via,digital
Non-Interlocked and Stranded: A look at what goes on behind the scenes when  decide to undertake NI work on,others
I am traveling from Delhi to Gorakhpur through Vaishali Exp. You expect us to support BJP,journey
Hi i am a passenger of Lichavi Express 14005 and some problem occured with the train when asked with staff of train ,others
"bIts really a serious issue of security and facility in Indian Railways, I hope the authorities would do the needfu    train no , as usual, running late by 4-5 hrs. Literall ",journey
"My parents are travelling in Lucknow mail 12230 from NDLS to LKO,  in coach no. B5. So many people who are not having t",journey
"My parents are travelling in Lucknow mail 12230 from NDLS to LKO,  in coach no. B5. So many people who are not havi ",journey
"Memories Of Journeys With Indian Railways. Good, bad, funny, crazy, but totally unforgettable experiences in Indian ",others
Non-Interlocked and Stranded: A look at what goes on behind the scenes when  decide to undertake NI work on  I am traveling from Delhi to Gorakhpur through Vaishali Exp. You expect us to support ,journey
Traveling from Bangalore city to Yadgir in Nanded Express train No 16594 S2 Seat Number 65 and 68 L ,journey
This is how wrong information is being spread about  without verifying the facts,others
1600 railway stations in India turned into RailWire WiFi zone     via,digital
bAgain indian railway service... my wif traveling... pnr 2620855868... S5....61... cant seat. Unknwn passngers seat ,others
Non-Interlocked and Stranded: A look at what goes on behind the scenes when  decide to undertake NI work on,others
Trains between Vadodara(brc) And Bilaspur(bsp) stations  ,journey
Baruipara Local is a bustuerd local.   ,others
bBaruipara Local 2 hours let coming from Sealdah why??? What is going on? Idiot service.    ,others
Non-Interlocked and Stranded: A look at what goes on behind the scenes when  decide to undertake NI work on,others
Non-Interlocked and Stranded: A look at what goes on behind the scenes when  decide to undertake NI work on,others
IRCTC is introducing a direct train from New Delhi to Leh which will cut short the travel time by half. That is to ,journey
Non-Interlocked and Stranded: A look at what goes on behind the scenes when  decide to undertake NI ,others
12278 PURI-HOWRAH Shatabdi Express being pulled by 30743 WAP7 Shed: Santragachi spotted at Birshibpur Railway Stati ,others
Shabti coming from Dheradoon hijacked by a crowd of armed policemen coming from election duty from sharanpur on war ,others
Door is not properly closing in A1 in 12842 on date. Concerned staff were contacted d ,others
This is how wrong information is being spread about  without verifying the facts ,others
"For the first , 12,58,371 ballot boxes were moved from the Godrej Manufacturing Compan ",others
The securers of law and order are only breaking it in dehradun shatabdi.We are struck at saharanpur a ,others
how you can allocate the RAC seat with ladies and gents???    ,others
"Indian Railways enter a swanky league, evolving toward the future like never before. Know more about the state-of-the-art   why not replying. why my TDR taking time to get approved. Proofs also given alread ",digital
Trains between Kolkata(hwh) And Raipur(r) stations  ,journey
Trains between Delhi(ndls) And GAYA(gaya) stations  ,journey
A new  for ! Free  at 500 stations in just 7 days. Check details | Business News  ,others
"Indian Railways enter a swanky league, evolving toward the future like never before. Know more about the state-of-t ",others
"bIts 18:00 in the evening and the general ticket counter of KARAVADI station is closed, wow I just got to know  tha ",journey
"Railways takes full money from us , and from that they gave us this off fan in this hot summer .  Atleast do some e ",others
India steel demand to grow by over 7% in 2019 and 2020    ,others
special gift for teachers!   to run between -; details ,food
Rs 130 for a simple veg meal at Poorva Exp with 100 g Rice 3 chapatis dal one curry with 4 smallest ,others
"RRGroup D Recruitment 2019:  has more than 1 lakh  , register by tomorrow   ",others
NFR Adopts New Technology to Enhance Safety of Bridges   ,digital
NFR Adopts New Technology to Enhance Safety of Bridges   ,digital
Surprised to know that PNR status check has became so difficult these days when people are looking ,others
Would it be a good idea to inform passengers of platform number 30 mins before scheduled departu ,others
India steel demand to grow by over 7% in 2019 and 2020,others
The  is striving towards re-development and beautification process. Lonavala station has be ,others
"Summer Special Trains 2019:  to run several trips for Allahabad, Jammu, Mumbai, Lucknow & more ",others
"Indian Railways creates record ,Free WiFi at 500 rail stations in 7 days. Sahibabad station has become the 1500th r  ke First Class AC coach ka khana.      ",digital
Such captcha is going to be possible only in India! Dunno how foreigners will feel about it. This is on ,health
sir NTES app was showing wrong information that  12182 ajmer - jbp dayodai express will arrive at 7:10 AM w,digital
RRALP Aptitude Test postponed: Railway Recruitment Board postpones RRALP Aptitude Test 2019 for Indian Railways ,others
to become   with world-class facilities! ,others
A place where  history resides \xf0\x9f\x98\x8d . . . railminindia     ,others
12735 SC-YPR garirath exp delayed by more than 4 hrs. Imp personal work loss. Very Poor service by ,journey
Microsoft partner with Indian Railways    ,others
"A comprehensive view of Indian Agriculture, Industry, Indian Railways, etc. with the study material of Internationa ",clean
QR code for railway TT is not full proof. There is a better mechanism to resolve this issue  ,others
Trains between Coimbatore(cbe) And Itarsi(et) stations  ,journey
Fast WiFi provided with record speed \xe2\x80\x93 600  Stations get free WiFi in 10 days.  ,digital
Chennai Egmore MS railway station.     ,others
Thousands of man hours by thousands of people were spent to bring  thelatest and most powerful locomotive ever for ,journey
And what will you do about allotting senior citizens  or  Seat..  sir please  provide  irctc connect app on iOS platform also.   it is very difficult to book t ,digital
Dear will this change someday? Do these pictures caus ,health
We tried the new Vande Bhagat Express train in India check it out and share it to spread the love \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xb3 ,others
Pictures from  station \xf0\x9f\x9a\x89 articulating real growth story of India and true success of .  sir NTES app was showing wrong information that  12182 ajmer - jbp dayodai express will arrive at 7:10   Yesvantpur Junction railway station\xc2\xa0(station code:\xc2\xa0YPR)\xc2\xa0pathetic condition platform 6 ,journey
Trains between Delhi(ndls) And GAYA(gaya) stations  ,journey
"Explore the rich heritage of Jaipur- Hawa Mahal, Jantar Mantar, City Palace, Jal Mahal, Jaigarh Fort, Birla Mandir spiri",others
The 11013 passengers are  waiting & donating blood to mosquitos past 5 hours at  railway station! ,others
Train 11013 is yet to come to Hosur even after 5 hours of delay! No announcements! Do we have consider this as grea ,journey
had food poisoning a few days ago when officials were caught drinking on the train. Took a ,food
01662 train coach no. S3 seat no. 24 at bilaspur station is very dirty. Someone has done vomitting.  ,clean
wastage Of water at Bhopal Junction Platform Number 2 ,journey
Thank you issue solved in few minutes    thank u once again... Jai hind ,others
Did u know that ...even coaches get cancelled ??? Without passengers getting imformations. ://t.co/DUhtWx5jJy,others
How come fresh linen is finished for Rajdhani 20504 for onboarding passengers at Guwa ,others
has achieved its highest ever capital expenditure of Rs 1.32Lakh Crore in 2018-19FY 2. ,others
Not a single announcement of Telangana Express 12723. Clueless about the train!! Not Happy \xf0\x9f\x98\x9e,digital
wastage Of water at Bhopal Junction Platform Number 2 ,journey
Trains between Bina(bina) And Warangal(wl) stations  ,journey
Up on the hill! Picture by    ,health
Quite a sight to watch the freight train crossing  the dense fog over the Osmanabad bridge. Picture by ,others
"biggest story of this decade, how it is transforming under Modi Govt. fast trains, coach exports, r ",others
Tirupati Railway Station bags IGBC Gold Rating Read Here...    ,others
NFR raises speed of 14 sections covering 736 km length during 2018-19 Read Here...   The fans arent working with no water supply in 12472  since morning ma ,journey
"Hi team I need your help, I required medicine for sir dard, anyone help me",food
My frnd got injured due to this broken window. he is trvllng on 12786 mys-kcg exp pnr-4503227770 seat: S1 71.. kind ,others
I booked and canceled two tickets and still i didnt received refund ev ,journey
"The first Sea-Bridge of India and one of the most dangerous train routes in the world.(Shot on Pixel) Pamban., Rameshwar",others
ADORNED BY BETTA  A silent .. peaceful country side adorned by Bettas .... 16578 HRR - YPR ICE EXP lead by 14083 KJM W congrats .better n beautiful   Tirupati station turns eco-friendly! Gets ,others
Trains between Vishakapatnam(vskp) And Solapur(sur) stations  ,journey
Complained all the time that I never got an opportunity to travel via train. In the past 1 year have taken at least ,others
RailTel turns 1600 railway stations into RailWire Wi-Fi zone Read Here...  ,others
Beautiful Erode WDG 3a merrily chugging through the diesel heaven line towards POY with 22652 PGT-MAS Superfast Pic:Alb,others
I got a notification that special trains are added for heavy floatt of people to Andhra Pradesh elections.   First ,others
RailTel turns 1600 railway stations into RailWire Wi-Fi zone Read Here...  ,others
Sir I m travelling from kanpur shatabdi train no 12034 Shyam Ji Gupta PNR 2622772964 ,others
We tried the new Vande Bhagat Express train in India check it out and share it to spread the love \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xb3 ,others
"Explore the rich heritage of Jaipur- Hawa Mahal, Jantar Mantar, City Palace, Jal Mahal, Jaigarh Fort, Birla Mandir spiri",others
Indian Green Building Council awards gold rating to Tirupati station     ,others
NTPC Signs MoU with Indian Railways.      ,others
It just MGR Chennai Central now      ,others
NFR raises speed of 14 sections covering 736 km length during 2018-19 Read Here... ,others
RailTel turns 1600 railway stations into RailWire Wi-Fi zone.  ,others
The  has become the first ever railway station in the  to get an ISO certific ,others
station turns eco-friendly! Gets green Gold rating; details here   ,others
NFR raises speed of 14 sections covering 736 km length during 2018-19 Read Here... ,others
"Explore the rich heritage of Jaipur- Hawa Mahal, Jantar Mantar, City Palace, Jal Mahal, Jaigarh Fort, Birla Mandir ",others
IN PICS: Transformation of Anand Vihar Railway Station  ,others
Maharajas\xe2\x80\x99 Express Train Details   ,others
Indian Green Building Council awards gold rating to Tirupati station     ,others
Trains between Chandrapur(bpq) And Mathura (mtj) stations  ,journey
Relief for  passengers this summer! Flexi fare discontinued in these trains,others
Finance Corporation raises $500 million through dollar bonds - The Financial Express ,health
Good news for Northeast! Brahmaputra Mail set to get new LHrake ,others
achieves highest ever capital expenditure in 2018-19   ,others
Good news for Northeast! Brahmaputra Mail set to get new LHrake ,others
Tirupati Railway Station bags IGBC Gold Rating Read Here...    ,others
Relief for  passengers this summer! Flexi fare discontinued in these trains,others
Relief for  passengers this summer! Flexi fare discontinued in these trains    sir on my e ticket I mistakenly wrote my name i ,journey
"We tried the new Vande Bhagat Express train in India check it out and share it to spread the love \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xb3   I mistakenly wrote my name on e ticket is Suraj , but on my aadhar it is Suraj P. Zambad what should I do now?",journey
We tried the new Vande Bhagat Express train in India check it out and share it to spread the love \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xb3 ,others
On fast track: 600  stations get free WiFi in 10 days; Santacruz 1600th to get facility | ,digital
GHY-Okha Express decorated with voters awareness materials urging people to participate in the ensuing Lok Sabha Election wa,others
"The  has achieved highest ever capital expenditure in 2018-19, a jump of Rs 30,000 crore!  Read more: sir im in train17018 Travelling from Secbad to ahmbad train is already 2hours late and still its been ",journey
On fast track: 600  stations get free WiFi in 10 days; Santacruz 1600th to get facility | ,digital
"The  has achieved highest ever capital expenditure in 2018-19, a jump of Rs 30,000 crore!  Read mor ",others
Trains between Bina(bina) And Bilaspur(bsp) stations  ,journey
"to have high-speed trains, better stations, passenger amenities: Top promises in    in 19332 from indore to ernkulam.... But there is no proper water s ",journey
"Enjoy the best of captivating hill station in India in the comforts of Hill Trains that offer vivid journeys amidst dens Please look out chaos at Navsari Railway station, Gujarat. We commuters are suffering a lot.  ",health
IRCTC Runs Special Trains to Ease the Summer Rush. Get All the Info Related to Summer Special Trai ,others
"I am amazed by the cleanliness of  railway station, mesmerised by its visual art and sparkling ",clean
How Modi government completed important railway projects in Tamil Nadu    ,others
The perception of led Indian Railways is changing towards responsive track & ambitious pla,others
Indian railways : If you want to use our website;  1. Be good at Math; or  2. Keep a calculator handy ,digital
"As 3 generations wait, Ahmednagar- Beed-Parli rail line again fuels election duel   ",others
Don\xe2\x80\x99t worry about summer heat on  platforms! ,others
"as per current status, its getting further delayed...please look into this.",journey
Trains between Chennai(mas) And Satna(sta) stations  ,journey
bIRCTC: Railway cancellation fee changed! Heres what you need to know   ,others
"pathetic state of affairs in KJM Station, irresponsible staff, train delayed by 10+ hrs and counting",journey
Travelling in Indian railways Train BBS HWH Janshatabdi Express and I found a rat roaming around my feet! Absolutely r,others
"Almost forgot another little gem  full of information on worker salaries, costs of construction materials ",others
Enjoy the best of captivating hill station in India in the comforts of Hill Trains that offer vivid journeys amidst dens   I want to drag ur attention on d matter of missing beddings from ,journey
"I am traveling today on 9th April 2019 by Ranikhet Exp (15013) Dli to kgm in B2 coach seat no 36, t ",others
In such trains have voting rights and can turn down the votes if such facility is provided.  ,others
"Beggar  in trains ,, pride of  Unofficial brand ambassadors of  ",others
"we are travelling train no.22461 shreeshakti from newdelhi-katra,in Ist AC ,F cabin,it is regretful ",others
Why food quality even in Rajdhani deteriorating. PNR: 2741306144 Dibrugarh Rajdhani-such a drastic change. No sweet ,food
its mess with unreserved passengers in gowthami super fast express. Lingampally to kakinada port...      Missing from 7.13 am Borivali-Churchgate Train.  Des      Missing from 7.13 am Borivali-Churchgate Trai ,journey
"is The most pathetic site. Everything is so confusing & their helpline is more confusing than that, trying t ",security
train no. 12529 on 9-4-2019 delayed deliberately by the railway for more than ,journey
"Hi Team, PNR NO: 2739409261 I lost my wallet with my railway ticket in it. I have taken this ticket from Mulund s ",journey
Financial Express: Don\xe2\x80\x99t worry about summer heat on  platforms! This new mist cooling system is uber ,others
In india the time of all the  are important n those who make them  are useless now  ,others
Indian Railways make a smashing hit in Make in India initiative Read here in details  ,others
Hello I boarded Shatabadi (Train no. 12006) today at 6:53 AM. Forget a book (novel) while de-boarding. My seat numb ,others
Trains between Satna(sta) And Ahmedabad(adi) stations  ,journey
Early morning breakfast was bread and omlet with a layer of fungus on it. While after dinner we had blanket with a ,food
A new  for ! Free  at 500 stations in just 7 days. Check details | Business News  ,others
express catches fire during maintenance work at Indore | Download the ET App:  . ,digital
"If u want to learn the art to delay no one other  can teach u better,delay of 19 mins turned into 41 ",journey
Lovely food great service 1Ac MumbaiDelhi Rajdhani 12951 first timeexperience.  cant manager AkshayS ,food
"celebrate Golden Jubilee of the first , from Howrah-New Delhi, its first .",others
thank you sir  \xf0\x9f\x8c\x9e \xf0\x9f\x8c\x9e ,others
"Sahibabad railway station of NR (Northern Railway) becomes the 1,500th station to be live with RailWire Wi-Fi.  to see positive transformation in Indian Railways, free WiFi, train running right on time, cleaning is s ",clean
bAt Sambalpur City station. Its as clean as possible. Thank you  ,clean
\xe2\x80\x99 first cyber crime cell to start in  | Pune News - Times of India ,others
trains in India never run on time ,others
"well... for the past 5 years, i am literally fed up of picking up my relatives at odd times like  3am, 4 am, courte ",others
Safest year! This new record by Indian Railways in FY19 will cheer every passenger   ,health
GHY-Okha Express decorated with voters awareness materials urging people to participate in the ensuing Lok Sabha Election wa,others
Missed Train? Don\xe2\x80\x99t Worry! \xe2\x80\x99 Big Relief for Passengers.\\\\,others
Pathatic service. Train 01666 is late more than 8 hours. I traveled from Naughachiya t ,journey
Pnr number: 2455222647 Please request railway minister to atleast provide water..because there is no pantry in this ,journey
SCAM   Selling local water  rate of 20rs no rail neer in jaipur stn to bdts. Local water sealed open who ,journey
Adding extra engines to add extra power to push the train up the ghat   ,others
GHY-Okha Express decorated with voters awareness materials urging people to participate in the ensuing Lok Sabha Election wa,others
Missed Train? Don\xe2\x80\x99t Worry! \xe2\x80\x99 Big Relief for Passengers.\\\\,others
No more inconvenience while booking tickets for your travel. Pay through  e-wallet and  within minutes,journey
I hail from Hyderabad. Salan and Raita are my best friends. People of all ages enjoy devouring a hot plate.   ,journey
Urgently needed doctor a child has sallowen a coin indore rajendranagar express coach no. S 10  ,others
"to have high-speed trains, better stations, passenger amenities: Top pr ",others
"In hot summer, Anand railway stations water point is closed with a board main ",journey
"Sahibabad railway station of NR (Northern Railway) becomes the 1,500th station to be live with RailWire Wi-Fi.  station of NR (Northern Railway) becomes the 1,500th station to be live with RailWire Wi-Fi. ",others
Missed Train? Don\xe2\x80\x99t Worry! \xe2\x80\x99 Big Relief for Passengers.\\\ ,others
Speedy Queen Of SER 12859 GITANJALI Express Linked ET P4 : Indian Railways  via ,others
Speedy Queen Of SER 12859 GITANJALI Express Linked ET P4 : Indian Railways  via ,others
"to have high-speed trains, better stations, passenger amenities: Top promises in  ",others
Watch the Video on Faster Calculation Tricks to Solve Number System for  JE Preparation and Increase your chanc ,others
"I m very emotional today. A delicious lunch you have served. Thank you  ji,  ",food
"No cleaning,and no water in GariRath 12203,toilet are very dirty Why we will pay....\ ",journey
Trains between Itarsi(et) And Kanpur(cnb) stations  ,journey
 SCR set deadline to achieve 100% electrification by 2021-22    ,others
Sahibabad station over Northern Railway has become the  station in the country to get free  facility pr ,others
"I am traveling via Humsafar express train no.(22354), and I heard these trains are the best, but they are not facil ",others
still i didnt received my balance pnr no. 6127262036 ????,health
presents Mata Vaishnodevi with Amritsar 3AC Charter Coach Ex Ahmedabad. Places covered will be Mata Vaishnod ,health
"IR achieves new heights with the Make In India Record: Over 6,000 Coaches Manufactured Indigenously In FY19 ",others
was saying few minutes back : 1.25 crore families had left Gas subsidy (after he asked ,others
Central Railway empowers RPF personnel with electric Segway scooters  |  ,others
Why  has installed cameras on the exterior of   ,security
Why  has installed cameras on the exterior of   ,security
Central Railway empowers RPF personnel with electric Segway scooters  |  ,others
Atleast railway should consider seat preference for senior citizens and mothers with infants while online ticket bo ,journey
bWhats the point in asking for seat  preference while booking tickets when we dont get the preferred one. ,journey
"As a trusted partner of the Indian Railways, Jindal Stainless reaffirmed its association with the national transpor ",others
11:45 thane local leaving at 12:03 am but we are happy with the fact that every 4 5 mins there is a train.  Things ,digital
"writes off residential arrear dues of 72 months, approves 10% yearly hike in maintenance fee ",digital
"Indian Railway jobs 2019: Apply for RRC Group D 103769 Level 1 posts, Check important dates, Railway exam fees and ",digital
"Make In India Boost.....  Indian Railways sets new Make in India record! Over 6,000 Coaches manufactured in FY:18-1 ",others
"Railway Employees Caught Consuming Alcohol in Mumbai-Delhi Rajdhani Express, Case Registered  ",security
"Train no 12266..coach H 1-C...Disappointed to see that in Fitst AC coach,even water bottles not served to sad experience traveling by 1st AC 12551. Delayed by 5 hrs, garbage all over, rats roaming around, no ",journey
Trains between Bina(bina) And Tirupati(tpty) stations  ,journey
Do we need to pay for urine in railway?    ,others
I had book ticket with PNR number : 4456397397. As the train was delayed to depart by ,journey
"I was stuck in traffic, was getting late and have to reach station to see off my wife. I had to a buy a platform ti ",journey
water is not available in S3 coach in  12295 Sanghamitra express train is arrive at Nagpur junction,journey
water is not available in any coach in train no. 12295 Sanghamitra express,journey
New Delhi-Bhubaneswar Rajdhani Express Passengers Fall Ill After Consuming Dinner Served by IRCTC On Board Train  ,food
time to make the food at shatabdi and Rajdhani as optional. We dont want to eat junk and pay for i ,food
Trains between Chandrapur(bpq) And Bilaspur(bsp) stations  ,journey
Inconvenience is regretted has lost it\s meaning when it comes to Indian Railways.  When my train i ,others
Its very unfortunate that our government working for bullet train but Indian railways not taking ,others
"In 12343 darjeeling mail 2nd class coach one ladies is in dengar, please help , RPF helpline no are not working, ne ",security
allows the user to book tickets to his favorite  destination within minutes and offer the user to pay for,journey
Trains between Ludhiana(ldh) And Chandrapur(bpq) stations       The drum sitters have gone one s ,journey
I have discovered the worlds worst coffee. Its at  Even worse than  coffee. That is a fine achie,others
RAC waiting ticket confirm hona ek IPL match jeetne k Barabar hai. ,journey
bWhy your system is careless about passenger service. day by day in 12343 Darjeeling mail huge peoples are travelin ,others
Indian railways electric locomotive class WAP4      ,others
great job! Train stopped immediately after started from halt to pick up old ladies. I feel like local bus.. cool motor man!,journey
travelling in Malwa xpress..pathetic service .. dirty bed sheet .. no blanket no towe ,clean
Thanks to our honourable prime minister  and  to start bande Bharat train from varansi ,journey
Nimbu pani has been banned at due to unavailability of  quality checks mechanism  xe2\x80\xa6,others
I want to carry about 150kg books from Kota Junction(KOTA) to Akbarpur(ABP) on 31May on 13238 What to do for that? ,journey
Can you share the progress of the work regarding the length,others
This is unbelievable! Indian railways earned 20cr ($3m) from private caparking charges in the last FY. ,others
Prompt action by taxi driver saved a life of a passenger from coming under the wheels of an express train at Agra C ,others
Travelling Lucknow Mail vide PNR No 226-015-1199 1Ac Cabin F Upper Birth. Pathetic condition of toilet stinking. ,others
Kamakhya-Gandhidham Express train decorated with the message from ECI urging people to participate in the upcoming ,journey
Dear  Must appreciate your punctuality the train which was suppose to be a departure at 5AM reach ,digital
Around 20 passengers on board of Delhi-Bhubaneswar  were today reportedly ill after eating meals served by ,health
